delivery_id,delivery_status,order_id,delivery_time,rider_id
1,Returned,1,16:30:39,16
2,Returned,2,22:01:59,23
3,Returned,3,08:21:47,8
4,Delayed,4,10:33:16,31
5,Returned,5,16:06:26,1
6,Returned,6,15:23:09,19
7,Delivered,7,19:22:46,34
8,Delayed,8,15:57:07,38
9,Delayed,9,02:55:02,37
10,Delivered,10,17:41:03,1
11,Returned,11,21:40:10,13
12,Delayed,12,11:24:56,44
13,Delayed,13,16:38:52,13
14,Delayed,14,08:57:36,3
15,Returned,15,00:01:27,19
16,Delivered,16,17:56:56,14
17,Delayed,17,12:50:53,24
18,Returned,18,10:10:28,21
19,Returned,19,17:57:57,34
20,Delayed,20,17:40:32,43
21,Delivered,21,15:54:35,17
22,Delivered,22,03:54:23,16
23,Delayed,23,11:23:46,27
24,Delayed,24,11:10:52,36
25,Delivered,25,14:10:48,26
26,Delayed,26,09:35:59,44
27,Delayed,27,19:12:24,31
28,Delivered,28,01:12:28,30
29,Delayed,29,14:17:36,5
30,Returned,30,12:16:16,24
31,Delayed,31,21:11:10,13
32,Returned,32,23:56:21,35
33,Delayed,33,23:14:43,10
34,Delayed,34,00:03:06,2
35,Delivered,35,11:14:01,49
36,Returned,36,17:04:26,36
37,Returned,37,12:00:32,40
38,Delivered,38,20:46:57,47
39,Delayed,39,05:46:46,12
40,Delivered,40,11:34:10,24
41,Delivered,41,23:16:04,38
42,Delivered,42,02:54:31,30
43,Delivered,43,21:13:17,33
44,Returned,44,13:14:41,31
45,Delivered,45,12:57:25,16
46,Delayed,46,22:07:56,45
47,Returned,47,22:14:22,20
48,Returned,48,22:35:28,8
49,Delayed,49,01:51:58,6
50,Delivered,50,15:22:40,49
51,Delivered,51,10:07:59,21
52,Delayed,52,20:16:11,48
53,Delivered,53,00:54:13,43
54,Returned,54,08:47:52,2
55,Delayed,55,08:47:29,14
56,Returned,56,10:40:43,43
57,Delayed,57,09:10:21,33
58,Delayed,58,12:18:12,43
59,Delayed,59,11:20:26,22
60,Delayed,60,08:34:39,46
61,Delivered,61,10:23:05,19
62,Delivered,62,19:34:49,34
63,Returned,63,03:34:04,32
64,Delivered,64,23:09:20,48
65,Delayed,65,10:49:58,15
66,Delivered,66,16:29:59,35
67,Returned,67,19:43:12,24
68,Delayed,68,06:42:59,7
69,Delivered,69,20:53:45,2
70,Delivered,70,15:40:25,26
71,Returned,71,22:56:21,29
72,Delivered,72,13:56:04,7
73,Delivered,73,19:25:57,16
74,Delayed,74,20:06:22,7
75,Returned,75,17:56:56,23
76,Delivered,76,16:23:49,30
77,Returned,77,18:22:51,9
78,Delayed,78,23:35:37,36
79,Returned,79,15:16:45,3
80,Delayed,80,13:06:54,39
81,Returned,81,04:02:25,11
82,Returned,82,23:18:42,13
83,Returned,83,13:37:06,10
84,Delivered,84,10:19:22,25
85,Delivered,85,11:16:59,20
86,Delayed,86,20:25:48,36
87,Returned,87,10:58:43,47
88,Delayed,88,15:27:45,50
89,Delayed,89,19:44:07,39
90,Delayed,90,01:31:59,41
91,Delivered,91,00:39:50,48
92,Returned,92,06:26:08,30
93,Delivered,93,04:28:14,9
94,Delivered,94,04:14:56,10
95,Delivered,95,08:51:17,14
96,Delayed,96,16:32:42,45
97,Delayed,97,07:18:20,35
98,Delivered,98,04:45:56,35
99,Delivered,99,03:45:05,5
100,Delivered,100,07:34:23,46
101,Delivered,101,22:11:36,12
102,Delayed,102,10:28:05,20
103,Returned,103,15:22:24,5
104,Delivered,104,07:51:34,31
105,Delayed,105,19:26:44,49
106,Delayed,106,11:02:36,17
107,Delayed,107,13:20:55,1
108,Returned,108,07:04:55,44
109,Returned,109,13:09:30,29
110,Delayed,110,03:59:20,31
111,Delivered,111,03:42:33,43
112,Delivered,112,12:13:13,35
113,Returned,113,08:13:40,2
114,Delayed,114,19:45:06,31
115,Delayed,115,07:52:54,49
116,Delivered,116,03:47:22,7
117,Delayed,117,07:18:07,10
118,Delayed,118,11:50:05,41
119,Delivered,119,07:17:15,21
120,Returned,120,13:51:19,25
121,Delayed,121,21:04:52,27
122,Returned,122,17:44:40,22
123,Delayed,123,19:57:01,5
124,Returned,124,23:06:08,4
125,Delayed,125,17:40:39,27
126,Delayed,126,16:18:41,23
127,Delivered,127,22:45:22,24
128,Delayed,128,21:25:53,27
129,Delivered,129,11:25:48,24
130,Returned,130,14:51:08,34
131,Delayed,131,03:35:59,19
132,Delivered,132,16:34:46,14
133,Returned,133,08:19:56,7
134,Returned,134,11:33:13,26
135,Returned,135,15:59:48,6
136,Delivered,136,12:24:31,7
137,Delivered,137,14:45:51,47
138,Delivered,138,12:45:23,38
139,Returned,139,03:19:22,47
140,Delayed,140,02:49:28,7
141,Returned,141,09:57:13,29
142,Returned,142,21:08:50,11
143,Delayed,143,16:40:27,50
144,Returned,144,12:04:17,42
145,Delivered,145,02:05:15,37
146,Returned,146,10:13:57,45
147,Returned,147,22:47:17,36
148,Delivered,148,13:55:39,47
149,Delayed,149,02:47:45,37
150,Delivered,150,11:33:09,32
151,Delayed,151,22:26:03,47
152,Delayed,152,17:03:00,20
153,Returned,153,06:06:39,50
154,Delayed,154,18:50:47,48
155,Delayed,155,22:45:57,5
156,Returned,156,14:33:09,2
157,Delayed,157,12:55:38,27
158,Delayed,158,02:14:57,44
159,Delayed,159,21:20:25,5
160,Returned,160,09:46:08,6
161,Delivered,161,04:03:02,12
162,Delivered,162,18:16:02,4
163,Returned,163,17:32:43,50
164,Delayed,164,16:33:00,37
165,Returned,165,11:14:25,2
166,Delivered,166,08:17:54,17
167,Returned,167,13:43:06,13
168,Returned,168,02:12:29,4
169,Delayed,169,00:07:59,27
170,Delayed,170,07:32:21,25
171,Delayed,171,23:13:31,26
172,Delivered,172,19:25:29,45
173,Delayed,173,19:56:56,30
174,Returned,174,23:53:35,13
175,Returned,175,15:01:28,22
176,Delivered,176,02:11:09,33
177,Delayed,177,22:26:08,14
178,Returned,178,22:58:51,9
179,Returned,179,02:23:55,15
180,Returned,180,11:23:04,14
181,Delayed,181,20:45:47,8
182,Delivered,182,10:04:52,37
183,Delayed,183,08:20:55,35
184,Delivered,184,10:34:09,10
185,Returned,185,22:05:57,36
186,Delivered,186,00:44:33,30
187,Delivered,187,05:18:54,19
188,Delayed,188,18:12:15,4
189,Returned,189,13:39:12,19
190,Returned,190,14:53:31,48
191,Delayed,191,09:05:34,48
192,Delivered,192,19:24:44,50
193,Delivered,193,09:41:32,44
194,Delayed,194,22:37:43,8
195,Delivered,195,22:27:32,45
196,Delivered,196,15:09:36,34
197,Delivered,197,22:39:43,44
198,Delayed,198,21:34:56,45
199,Returned,199,14:55:42,42
200,Returned,200,04:35:37,16
201,Returned,201,20:30:57,31
202,Delayed,202,04:50:49,22
