order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
1,424,13,Egg Curry,2021-01-13,14:42:39,Pending,1483.11
2,74,24,Chicken Salad,2025-07-24,20:22:59,Delivered,170.25
3,423,24,Dal Makhani,2021-12-20,06:32:47,Cancelled,797.51
4,13,1,Paneer Butter Masala,2022-10-30,09:47:16,Pending,928.63
5,236,17,Mutton Curry,2025-08-04,14:17:26,Cancelled,80.69
6,280,18,Veg Pulao,2019-01-30,13:25:09,Pending,341.84
7,382,3,Veg Sandwich,2023-08-21,19:03:46,Delivered,396.23
8,337,12,Samosa,2025-09-22,15:11:07,Pending,772.05
9,388,12,Chicken Kebabs,2023-10-06,01:47:02,Delivered,894.96
10,303,14,Tikka Masala,2023-02-08,16:56:03,Delivered,755.12
11,191,22,Fish Fry,2022-02-04,20:00:10,Pending,1024.32
12,329,26,Chicken Kebabs,2023-12-16,10:11:56,Delivered,123.82
13,270,5,Palak Kofta,2025-10-29,15:34:52,Pending,1380.57
14,133,9,Cheese Naan,2025-04-12,07:27:36,Pending,1118.88
15,159,7,Kadai Chicken,2023-11-03,22:01:27,Cancelled,287.46
16,146,14,Tandoori Roti,2022-09-03,17:22:56,Cancelled,355.26
17,134,13,Mutton Korma,2023-02-01,11:57:53,Pending,1302.31
18,23,7,Malai Kofta,2022-04-10,08:33:28,Delivered,51.49
19,265,16,Stuffed Paratha,2024-02-12,16:17:57,Delivered,193.81
20,174,21,Masala Dosa,2025-01-12,16:46:32,Cancelled,272.51
21,368,22,Chicken Nuggets,2025-05-02,15:31:35,Delivered,1087.87
22,422,8,Upma,2025-05-04,03:29:23,Delivered,1323.67
23,11,4,Egg Biryani,2024-06-02,09:55:46,Cancelled,569.64
24,301,28,Kulfi,2023-10-11,10:11:52,Cancelled,1391.08
25,369,7,Paneer Masala,2020-05-09,13:33:48,Pending,1333.91
26,126,14,Chicken Nuggets,2024-09-29,08:25:59,Cancelled,1082.61
27,371,28,Gajar Halwa,2020-01-05,17:46:24,Delivered,237.41
28,167,22,Egg Curry,2025-08-05,00:44:28,Pending,706.32
29,140,22,Butter Chicken,2024-06-27,13:30:36,Cancelled,1090.67
30,33,19,Biryani Rice,2025-04-02,10:37:16,Cancelled,958.74
31,272,5,Chicken Salad,2024-05-12,20:11:10,Pending,483.16
32,351,11,Butter Naan,2023-12-16,22:19:21,Pending,513.32
33,34,5,Chapati,2023-03-01,22:24:43,Delivered,1458.3
34,58,28,Pesarattu,2022-09-17,22:48:06,Delivered,1402.13
35,243,27,Chicken Boti,2022-06-06,10:47:01,Pending,1497.58
36,295,16,Masala Omelette,2024-12-30,15:21:26,Cancelled,379.02
37,152,18,Veg Fried Rice,2025-05-27,10:12:32,Cancelled,605.57
38,443,20,Mutton Biryani,2023-07-25,20:23:57,Pending,1199.48
39,129,5,Pakora,2022-11-25,04:40:46,Cancelled,364.07
40,350,1,Chicken Curry,2024-10-14,11:11:10,Delivered,688.52
41,288,16,Egg Roll,2019-06-27,22:53:04,Delivered,440.47
42,127,7,Lassi,2023-02-13,02:28:31,Cancelled,1130.35
43,318,5,Malai Kofta,2023-07-09,20:46:17,Cancelled,758.66
44,494,18,Malabar Parotta,2023-06-26,11:16:41,Delivered,952.21
45,342,21,Chicken Curry,2024-07-06,12:39:25,Pending,941.28
46,235,8,Pesarattu,2023-03-31,21:04:56,Cancelled,179.52
47,295,11,Pani Puri,2020-09-26,20:41:22,Pending,1052.77
48,94,11,Tandoori Chicken,2025-09-24,21:00:28,Cancelled,278.39
49,150,17,Chicken Curry,2024-04-06,00:57:58,Delivered,630.74
50,432,28,Egg Curry,2023-11-15,15:03:40,Pending,299.76
51,215,24,Masala Omelette,2023-08-17,09:39:59,Delivered,819.54
